order_id,arrival_time,item_id,pick_point_id
1,79,7-4-left-item,7-4
1,79,3-13-left-item,3-13
1,79,3-5-right-item,3-5
1,79,4-6-left-item,4-6
1,79,8-9-right-item,8-9
2,123,4-17-left-item,4-17
2,123,6-15-right-item,6-15
2,123,5-17-right-item,5-17
2,123,3-14-left-item,3-14
2,123,6-6-right-item,6-6
3,143,6-5-left-item,6-5
3,143,4-18-right-item,4-18
3,143,4-3-right-item,4-3
3,143,1-17-left-item,1-17
3,143,3-3-right-item,3-3
4,147,2-6-left-item,2-6
4,147,8-14-left-item,8-14
4,147,4-7-left-item,4-7
4,147,1-7-left-item,1-7
4,147,6-8-left-item,6-8
5,244,3-9-right-item,3-9
5,244,2-19-right-item,2-19
5,244,9-20-left-item,9-20
5,244,5-3-right-item,5-3
5,244,1-11-right-item,1-11
6,262,8-14-right-item,8-14
6,262,4-9-left-item,4-9
6,262,1-7-left-item,1-7
6,262,3-18-right-item,3-18
6,262,5-20-left-item,5-20
7,283,3-7-right-item,3-7
7,283,4-15-right-item,4-15
7,283,4-15-left-item,4-15
7,283,8-8-right-item,8-8
7,283,2-2-left-item,2-2
8,312,6-12-right-item,6-12
8,312,6-10-left-item,6-10
8,312,1-20-right-item,1-20
8,312,7-1-left-item,7-1
8,312,9-11-right-item,9-11
9,337,3-18-left-item,3-18
9,337,4-19-left-item,4-19
9,337,1-6-left-item,1-6
9,337,5-15-right-item,5-15
9,337,1-14-right-item,1-14
10,427,4-19-left-item,4-19
10,427,8-10-right-item,8-10
10,427,2-19-right-item,2-19
10,427,3-9-left-item,3-9
10,427,1-13-right-item,1-13
11,464,5-18-right-item,5-18
11,464,4-12-left-item,4-12
11,464,3-18-left-item,3-18
11,464,2-4-left-item,2-4
11,464,9-5-right-item,9-5
12,528,2-6-right-item,2-6
12,528,2-4-left-item,2-4
12,528,2-1-right-item,2-1
12,528,1-19-left-item,1-19
12,528,4-5-right-item,4-5
13,536,1-17-right-item,1-17
13,536,7-18-right-item,7-18
13,536,6-19-left-item,6-19
13,536,1-2-right-item,1-2
13,536,7-11-left-item,7-11
14,606,5-12-left-item,5-12
14,606,9-13-right-item,9-13
14,606,6-1-right-item,6-1
14,606,9-2-right-item,9-2
14,606,5-6-right-item,5-6
15,614,9-15-left-item,9-15
15,614,7-16-right-item,7-16
15,614,5-9-left-item,5-9
15,614,2-20-right-item,2-20
15,614,8-18-left-item,8-18
16,649,3-7-right-item,3-7
16,649,3-5-right-item,3-5
16,649,8-7-left-item,8-7
16,649,8-2-right-item,8-2
16,649,6-19-left-item,6-19
17,655,7-1-left-item,7-1
17,655,1-8-right-item,1-8
17,655,7-9-right-item,7-9
17,655,5-1-left-item,5-1
17,655,6-15-left-item,6-15
18,753,9-4-left-item,9-4
18,753,8-11-right-item,8-11
18,753,2-11-right-item,2-11
18,753,5-13-left-item,5-13
18,753,6-1-right-item,6-1
19,851,5-6-left-item,5-6
19,851,5-16-right-item,5-16
19,851,9-6-right-item,9-6
19,851,6-9-right-item,6-9
19,851,9-13-right-item,9-13
20,912,8-6-right-item,8-6
20,912,5-10-right-item,5-10
20,912,1-20-right-item,1-20
20,912,3-20-left-item,3-20
20,912,3-2-right-item,3-2
21,1073,9-16-left-item,9-16
21,1073,1-12-left-item,1-12
21,1073,4-11-right-item,4-11
21,1073,3-18-right-item,3-18
21,1073,1-16-right-item,1-16
22,1162,1-12-right-item,1-12
22,1162,5-20-left-item,5-20
22,1162,8-18-left-item,8-18
22,1162,8-4-left-item,8-4
22,1162,7-1-left-item,7-1
23,1279,3-3-right-item,3-3
23,1279,5-20-left-item,5-20
23,1279,3-11-left-item,3-11
23,1279,6-15-right-item,6-15
23,1279,5-19-right-item,5-19
24,1354,2-12-right-item,2-12
24,1354,9-20-right-item,9-20
24,1354,5-14-right-item,5-14
24,1354,3-17-right-item,3-17
24,1354,8-1-left-item,8-1
25,1434,8-6-left-item,8-6
25,1434,2-14-right-item,2-14
25,1434,6-6-right-item,6-6
25,1434,5-20-right-item,5-20
25,1434,5-17-left-item,5-17
26,1436,8-6-right-item,8-6
26,1436,7-12-left-item,7-12
26,1436,8-18-left-item,8-18
26,1436,5-11-left-item,5-11
26,1436,2-10-left-item,2-10
27,1506,6-6-left-item,6-6
27,1506,8-1-right-item,8-1
27,1506,7-18-left-item,7-18
27,1506,5-3-right-item,5-3
27,1506,9-1-left-item,9-1
28,1705,2-6-right-item,2-6
28,1705,5-3-right-item,5-3
28,1705,4-9-left-item,4-9
28,1705,8-15-left-item,8-15
