order_id,arrival_time,item_id,pick_point_id
1,21,11-19-right-item,11-19
1,21,8-8-left-item,8-8
1,21,11-20-left-item,11-20
1,21,1-19-left-item,1-19
1,21,5-6-right-item,5-6
2,166,7-10-right-item,7-10
2,166,7-3-right-item,7-3
2,166,10-14-left-item,10-14
2,166,3-2-right-item,3-2
2,166,1-10-left-item,1-10
3,170,5-11-left-item,5-11
3,170,11-14-right-item,11-14
3,170,2-13-left-item,2-13
3,170,7-16-right-item,7-16
3,170,3-9-right-item,3-9
4,192,7-7-left-item,7-7
4,192,12-11-left-item,12-11
4,192,5-13-right-item,5-13
4,192,7-1-left-item,7-1
4,192,9-1-right-item,9-1
5,308,12-12-right-item,12-12
5,308,9-4-right-item,9-4
5,308,11-5-left-item,11-5
5,308,1-17-left-item,1-17
5,308,1-10-right-item,1-10
6,318,11-4-right-item,11-4
6,318,4-6-right-item,4-6
6,318,10-8-right-item,10-8
6,318,8-16-left-item,8-16
6,318,7-13-right-item,7-13
7,325,11-4-left-item,11-4
7,325,9-12-right-item,9-12
7,325,11-18-right-item,11-18
7,325,8-14-left-item,8-14
7,325,4-3-right-item,4-3
8,443,4-12-left-item,4-12
8,443,8-10-right-item,8-10
8,443,9-2-right-item,9-2
8,443,1-18-left-item,1-18
8,443,10-16-left-item,10-16
9,497,3-2-right-item,3-2
9,497,9-5-right-item,9-5
9,497,9-5-left-item,9-5
9,497,12-10-right-item,12-10
9,497,4-13-left-item,4-13
10,569,2-12-left-item,2-12
10,569,1-13-left-item,1-13
10,569,7-7-left-item,7-7
10,569,3-17-left-item,3-17
10,569,12-17-right-item,12-17
11,589,2-18-left-item,2-18
11,589,6-6-right-item,6-6
11,589,3-3-left-item,3-3
11,589,5-17-left-item,5-17
11,589,7-5-left-item,7-5
12,665,11-9-right-item,11-9
12,665,4-5-right-item,4-5
12,665,8-17-right-item,8-17
12,665,3-1-right-item,3-1
12,665,2-18-left-item,2-18
13,716,12-14-right-item,12-14
13,716,3-20-right-item,3-20
13,716,4-1-right-item,4-1
13,716,12-4-right-item,12-4
13,716,2-14-right-item,2-14
14,719,7-4-left-item,7-4
14,719,1-2-left-item,1-2
14,719,3-10-left-item,3-10
14,719,7-19-left-item,7-19
14,719,7-7-right-item,7-7
15,752,8-18-right-item,8-18
15,752,7-13-right-item,7-13
15,752,1-4-right-item,1-4
15,752,6-1-right-item,6-1
15,752,6-15-right-item,6-15
16,771,1-18-left-item,1-18
16,771,3-12-left-item,3-12
16,771,9-3-left-item,9-3
16,771,5-3-left-item,5-3
16,771,8-19-right-item,8-19
17,816,3-6-left-item,3-6
17,816,12-9-right-item,12-9
17,816,3-11-left-item,3-11
17,816,11-17-right-item,11-17
17,816,3-13-left-item,3-13
18,842,11-11-right-item,11-11
18,842,8-2-left-item,8-2
18,842,12-1-left-item,12-1
18,842,10-5-left-item,10-5
18,842,4-16-left-item,4-16
19,893,12-1-left-item,12-1
19,893,11-5-left-item,11-5
19,893,1-20-right-item,1-20
19,893,12-6-left-item,12-6
19,893,6-7-left-item,6-7
20,913,11-20-right-item,11-20
20,913,12-15-right-item,12-15
20,913,2-2-right-item,2-2
20,913,6-14-left-item,6-14
20,913,3-6-right-item,3-6
21,927,2-20-right-item,2-20
21,927,5-1-right-item,5-1
21,927,6-4-right-item,6-4
21,927,2-4-left-item,2-4
21,927,5-4-right-item,5-4
22,951,9-5-left-item,9-5
22,951,4-18-right-item,4-18
22,951,9-6-right-item,9-6
22,951,4-20-left-item,4-20
22,951,7-7-right-item,7-7
23,955,5-19-right-item,5-19
23,955,2-18-left-item,2-18
23,955,10-12-left-item,10-12
23,955,12-3-left-item,12-3
23,955,1-13-left-item,1-13
24,983,12-18-right-item,12-18
24,983,5-2-left-item,5-2
24,983,11-20-right-item,11-20
24,983,7-15-right-item,7-15
24,983,9-12-left-item,9-12
25,1050,12-9-right-item,12-9
25,1050,1-20-right-item,1-20
25,1050,6-8-left-item,6-8
25,1050,12-10-left-item,12-10
25,1050,3-12-left-item,3-12
26,1110,8-18-right-item,8-18
26,1110,2-17-left-item,2-17
26,1110,8-16-right-item,8-16
26,1110,11-3-right-item,11-3
26,1110,4-20-right-item,4-20
27,1177,8-4-left-item,8-4
27,1177,4-19-right-item,4-19
27,1177,11-6-left-item,11-6
27,1177,8-9-right-item,8-9
27,1177,6-20-right-item,6-20
28,1208,11-9-left-item,11-9
28,1208,1-16-right-item,1-16
28,1208,11-1-left-item,11-1
28,1208,12-13-right-item,12-13
28,1208,3-17-right-item,3-17
29,1210,9-17-left-item,9-17
29,1210,6-17-right-item,6-17
29,1210,3-20-left-item,3-20
29,1210,9-20-right-item,9-20
29,1210,1-6-left-item,1-6
30,1224,4-3-left-item,4-3
30,1224,11-20-left-item,11-20
30,1224,2-19-right-item,2-19
30,1224,11-15-right-item,11-15
30,1224,7-16-right-item,7-16
31,1224,1-14-right-item,1-14
31,1224,2-15-left-item,2-15
31,1224,11-7-left-item,11-7
31,1224,4-1-right-item,4-1
31,1224,9-10-left-item,9-10
32,1229,12-9-left-item,12-9
32,1229,6-1-left-item,6-1
32,1229,8-8-left-item,8-8
32,1229,12-16-left-item,12-16
32,1229,9-1-right-item,9-1
33,1230,4-10-right-item,4-10
33,1230,7-6-left-item,7-6
33,1230,9-2-right-item,9-2
33,1230,8-8-right-item,8-8
33,1230,6-6-right-item,6-6
34,1231,11-16-right-item,11-16
34,1231,9-11-right-item,9-11
34,1231,4-7-left-item,4-7
34,1231,3-14-right-item,3-14
34,1231,2-11-right-item,2-11
35,1275,6-6-left-item,6-6
35,1275,10-4-right-item,10-4
35,1275,1-10-left-item,1-10
35,1275,9-8-right-item,9-8
35,1275,9-18-left-item,9-18
36,1303,6-6-right-item,6-6
36,1303,11-8-left-item,11-8
36,1303,2-9-left-item,2-9
36,1303,2-1-left-item,2-1
36,1303,6-5-left-item,6-5
37,1408,6-19-right-item,6-19
37,1408,12-16-right-item,12-16
37,1408,12-12-left-item,12-12
37,1408,7-8-right-item,7-8
37,1408,10-10-left-item,10-10
38,1453,1-15-left-item,1-15
38,1453,3-19-right-item,3-19
38,1453,10-6-right-item,10-6
38,1453,5-11-right-item,5-11
38,1453,10-11-right-item,10-11
39,1500,2-3-left-item,2-3
39,1500,4-7-right-item,4-7
39,1500,2-7-right-item,2-7
39,1500,6-9-right-item,6-9
39,1500,3-15-right-item,3-15
40,1586,3-9-left-item,3-9
40,1586,2-20-left-item,2-20
40,1586,4-5-right-item,4-5
40,1586,9-8-left-item,9-8
40,1586,1-4-left-item,1-4
41,1591,2-4-right-item,2-4
41,1591,5-5-right-item,5-5
41,1591,4-7-left-item,4-7
41,1591,4-1-right-item,4-1
41,1591,5-13-left-item,5-13
42,1591,12-3-left-item,12-3
42,1591,11-17-right-item,11-17
42,1591,4-7-left-item,4-7
42,1591,8-7-right-item,8-7
42,1591,12-12-left-item,12-12
43,1685,1-2-left-item,1-2
43,1685,2-12-left-item,2-12
43,1685,11-6-left-item,11-6
43,1685,7-6-right-item,7-6
43,1685,7-19-left-item,7-19
44,1712,6-20-right-item,6-20
44,1712,10-11-left-item,10-11
44,1712,3-11-right-item,3-11
44,1712,8-5-right-item,8-5
44,1712,6-18-left-item,6-18
45,1734,11-6-right-item,11-6
45,1734,10-7-right-item,10-7
45,1734,12-6-left-item,12-6
45,1734,12-3-right-item,12-3
45,1734,9-11-left-item,9-11
46,1746,1-9-left-item,1-9
46,1746,5-11-right-item,5-11
46,1746,12-11-right-item,12-11
46,1746,7-1-right-item,7-1
46,1746,8-7-right-item,8-7
47,1757,7-10-left-item,7-10
47,1757,5-1-right-item,5-1
47,1757,5-16-left-item,5-16
47,1757,12-13-right-item,12-13
47,1757,10-11-left-item,10-11
48,1769,1-20-left-item,1-20
48,1769,1-10-left-item,1-10
48,1769,9-14-right-item,9-14
48,1769,8-6-left-item,8-6
48,1769,2-20-left-item,2-20
49,1815,12-17-left-item,12-17
49,1815,2-11-right-item,2-11
49,1815,8-19-right-item,8-19
49,1815,5-15-right-item,5-15
49,1815,3-3-left-item,3-3
50,1828,8-16-left-item,8-16
50,1828,3-6-left-item,3-6
50,1828,2-17-left-item,2-17
50,1828,4-5-left-item,4-5
50,1828,6-8-right-item,6-8
51,1889,9-12-left-item,9-12
51,1889,4-12-left-item,4-12
51,1889,5-20-left-item,5-20
51,1889,5-2-left-item,5-2
51,1889,1-5-right-item,1-5
52,1967,2-12-left-item,2-12
52,1967,8-15-right-item,8-15
52,1967,1-12-right-item,1-12
52,1967,5-18-left-item,5-18
52,1967,1-1-left-item,1-1
53,2007,8-13-right-item,8-13
53,2007,7-11-left-item,7-11
53,2007,12-3-right-item,12-3
53,2007,4-17-left-item,4-17
53,2007,3-15-right-item,3-15
54,2046,7-17-left-item,7-17
54,2046,8-16-left-item,8-16
54,2046,1-10-left-item,1-10
54,2046,1-7-left-item,1-7
54,2046,1-10-right-item,1-10
55,2084,4-9-right-item,4-9
55,2084,9-18-right-item,9-18
55,2084,4-16-right-item,4-16
55,2084,2-6-right-item,2-6
55,2084,6-4-right-item,6-4
56,2121,2-12-left-item,2-12
56,2121,6-4-right-item,6-4
56,2121,1-12-right-item,1-12
56,2121,4-20-left-item,4-20
56,2121,7-10-right-item,7-10
57,2133,12-13-left-item,12-13
57,2133,2-13-right-item,2-13
57,2133,5-5-left-item,5-5
57,2133,8-15-left-item,8-15
57,2133,3-9-right-item,3-9
58,2161,4-14-left-item,4-14
58,2161,9-7-left-item,9-7
58,2161,4-6-right-item,4-6
58,2161,8-13-right-item,8-13
58,2161,11-9-left-item,11-9
59,2175,3-14-left-item,3-14
59,2175,6-7-right-item,6-7
59,2175,2-13-right-item,2-13
59,2175,11-2-left-item,11-2
59,2175,11-3-left-item,11-3
60,2195,5-12-right-item,5-12
60,2195,11-17-right-item,11-17
60,2195,7-13-right-item,7-13
60,2195,2-18-right-item,2-18
60,2195,5-7-right-item,5-7
61,2195,8-4-left-item,8-4
61,2195,9-12-right-item,9-12
61,2195,7-10-left-item,7-10
61,2195,7-14-left-item,7-14
61,2195,9-9-right-item,9-9
62,2253,1-5-right-item,1-5
62,2253,7-19-right-item,7-19
62,2253,1-18-left-item,1-18
62,2253,1-10-left-item,1-10
62,2253,10-6-right-item,10-6
63,2341,12-4-left-item,12-4
63,2341,4-14-right-item,4-14
63,2341,3-8-left-item,3-8
63,2341,3-6-left-item,3-6
63,2341,1-2-right-item,1-2
64,2373,4-11-right-item,4-11
64,2373,4-10-left-item,4-10
64,2373,6-1-right-item,6-1
64,2373,1-12-left-item,1-12
64,2373,10-10-left-item,10-10
65,2388,9-19-right-item,9-19
65,2388,4-15-left-item,4-15
65,2388,1-2-right-item,1-2
65,2388,12-15-left-item,12-15
65,2388,7-7-right-item,7-7
66,2448,6-10-left-item,6-10
66,2448,7-16-right-item,7-16
66,2448,9-15-left-item,9-15
66,2448,7-8-right-item,7-8
66,2448,3-11-right-item,3-11
67,2494,7-15-left-item,7-15
67,2494,2-6-left-item,2-6
67,2494,12-3-left-item,12-3
67,2494,10-3-left-item,10-3
67,2494,6-3-right-item,6-3
68,2512,2-14-right-item,2-14
68,2512,1-18-right-item,1-18
68,2512,7-3-left-item,7-3
68,2512,11-7-left-item,11-7
68,2512,5-9-right-item,5-9
69,2539,2-12-left-item,2-12
69,2539,1-14-left-item,1-14
69,2539,9-5-right-item,9-5
69,2539,8-16-right-item,8-16
69,2539,11-10-right-item,11-10
70,2596,3-4-left-item,3-4
70,2596,2-15-right-item,2-15
70,2596,9-11-right-item,9-11
70,2596,2-9-right-item,2-9
70,2596,6-12-left-item,6-12
71,2604,5-12-right-item,5-12
71,2604,12-10-left-item,12-10
71,2604,4-12-left-item,4-12
71,2604,12-3-left-item,12-3
71,2604,12-17-right-item,12-17
72,2620,6-6-right-item,6-6
72,2620,8-16-right-item,8-16
72,2620,6-12-right-item,6-12
72,2620,2-11-left-item,2-11
72,2620,1-6-left-item,1-6
73,2694,4-19-left-item,4-19
73,2694,1-11-left-item,1-11
73,2694,1-13-right-item,1-13
73,2694,12-11-left-item,12-11
73,2694,8-6-right-item,8-6
74,2801,2-16-right-item,2-16
74,2801,2-5-right-item,2-5
74,2801,11-4-right-item,11-4
74,2801,2-13-left-item,2-13
74,2801,4-9-right-item,4-9
75,2849,10-5-right-item,10-5
75,2849,7-16-left-item,7-16
75,2849,8-16-right-item,8-16
75,2849,12-19-right-item,12-19
75,2849,7-15-left-item,7-15
76,2995,1-14-right-item,1-14
76,2995,12-2-right-item,12-2
76,2995,11-11-left-item,11-11
76,2995,2-12-left-item,2-12
76,2995,12-1-left-item,12-1
77,2999,9-11-left-item,9-11
77,2999,3-4-right-item,3-4
77,2999,12-13-left-item,12-13
77,2999,7-6-left-item,7-6
77,2999,3-11-left-item,3-11
78,3091,6-1-right-item,6-1
78,3091,10-9-right-item,10-9
78,3091,4-7-right-item,4-7
78,3091,9-6-left-item,9-6
78,3091,6-16-left-item,6-16
79,3105,5-3-left-item,5-3
79,3105,10-12-left-item,10-12
79,3105,6-16-right-item,6-16
79,3105,3-18-left-item,3-18
79,3105,11-9-right-item,11-9
80,3119,11-3-left-item,11-3
80,3119,11-15-left-item,11-15
80,3119,7-8-right-item,7-8
80,3119,10-5-left-item,10-5
80,3119,8-13-right-item,8-13
81,3121,6-2-left-item,6-2
81,3121,7-4-left-item,7-4
81,3121,4-17-left-item,4-17
81,3121,3-4-right-item,3-4
81,3121,11-18-left-item,11-18
82,3168,7-3-right-item,7-3
82,3168,9-12-left-item,9-12
82,3168,10-15-left-item,10-15
82,3168,8-11-right-item,8-11
82,3168,6-9-left-item,6-9
83,3199,12-16-left-item,12-16
83,3199,3-9-left-item,3-9
83,3199,3-3-left-item,3-3
83,3199,6-1-left-item,6-1
83,3199,2-4-right-item,2-4
84,3265,2-2-right-item,2-2
84,3265,4-10-left-item,4-10
84,3265,8-20-left-item,8-20
84,3265,4-18-right-item,4-18
84,3265,5-12-left-item,5-12
85,3338,2-14-right-item,2-14
85,3338,8-11-left-item,8-11
85,3338,7-10-right-item,7-10
85,3338,2-5-right-item,2-5
85,3338,12-4-right-item,12-4
86,3391,11-15-left-item,11-15
86,3391,4-6-right-item,4-6
86,3391,11-20-left-item,11-20
86,3391,9-17-right-item,9-17
86,3391,6-11-left-item,6-11
87,3435,9-7-left-item,9-7
87,3435,2-5-left-item,2-5
87,3435,5-16-left-item,5-16
87,3435,1-1-right-item,1-1
87,3435,6-12-left-item,6-12
88,3472,11-15-right-item,11-15
88,3472,7-4-left-item,7-4
88,3472,9-11-left-item,9-11
88,3472,9-4-left-item,9-4
88,3472,4-2-right-item,4-2
89,3494,12-4-right-item,12-4
89,3494,2-18-left-item,2-18
89,3494,12-2-left-item,12-2
89,3494,10-5-left-item,10-5
89,3494,6-20-right-item,6-20
90,3632,4-1-right-item,4-1
90,3632,8-3-left-item,8-3
90,3632,2-9-left-item,2-9
90,3632,4-8-left-item,4-8
90,3632,8-9-right-item,8-9
91,3668,3-16-left-item,3-16
91,3668,12-16-left-item,12-16
91,3668,8-2-left-item,8-2
91,3668,11-3-left-item,11-3
91,3668,2-5-right-item,2-5
92,3671,10-2-left-item,10-2
92,3671,5-19-right-item,5-19
92,3671,11-15-left-item,11-15
92,3671,3-3-right-item,3-3
92,3671,6-19-right-item,6-19
93,3707,6-7-left-item,6-7
93,3707,10-9-left-item,10-9
93,3707,9-8-left-item,9-8
93,3707,3-4-left-item,3-4
93,3707,4-7-left-item,4-7
94,3709,12-15-left-item,12-15
94,3709,5-16-right-item,5-16
94,3709,6-2-right-item,6-2
94,3709,8-9-left-item,8-9
94,3709,11-10-left-item,11-10
95,3712,8-20-left-item,8-20
95,3712,1-19-right-item,1-19
95,3712,5-9-right-item,5-9
95,3712,11-6-left-item,11-6
95,3712,3-1-right-item,3-1
96,3749,4-6-left-item,4-6
96,3749,7-3-left-item,7-3
96,3749,4-4-left-item,4-4
96,3749,10-4-left-item,10-4
96,3749,9-4-right-item,9-4
97,3820,10-10-right-item,10-10
97,3820,3-19-right-item,3-19
97,3820,8-18-right-item,8-18
97,3820,7-17-left-item,7-17
97,3820,11-19-left-item,11-19
98,3823,5-16-right-item,5-16
98,3823,6-10-left-item,6-10
98,3823,9-12-left-item,9-12
98,3823,11-2-left-item,11-2
98,3823,11-12-left-item,11-12
99,3854,3-8-left-item,3-8
