case,tier,mean_interarrival,n_pickers,n_robots,n_orders,n_rows,path
C01,case,20.0,1,2,100,500,data/instances/cases/C01.csv
C02,case,20.0,1,4,100,500,data/instances/cases/C02.csv
C03,case,20.0,1,6,100,500,data/instances/cases/C03.csv
C04,case,20.0,2,2,100,500,data/instances/cases/C04.csv
C05,case,20.0,2,4,100,500,data/instances/cases/C05.csv
C06,case,20.0,2,6,100,500,data/instances/cases/C06.csv
C07,case,20.0,3,2,100,500,data/instances/cases/C07.csv
C08,case,20.0,3,4,100,500,data/instances/cases/C08.csv
C09,case,20.0,3,6,100,500,data/instances/cases/C09.csv
C10,case,40.0,1,2,100,500,data/instances/cases/C10.csv
C11,case,40.0,1,4,100,500,data/instances/cases/C11.csv
C12,case,40.0,1,6,100,500,data/instances/cases/C12.csv
C13,case,40.0,2,2,100,500,data/instances/cases/C13.csv
C14,case,40.0,2,4,100,500,data/instances/cases/C14.csv
C15,case,40.0,2,6,100,500,data/instances/cases/C15.csv
C16,case,40.0,3,2,100,500,data/instances/cases/C16.csv
C17,case,40.0,3,4,100,500,data/instances/cases/C17.csv
C18,case,40.0,3,6,100,500,data/instances/cases/C18.csv
C19,case,60.0,1,2,100,500,data/instances/cases/C19.csv
C20,case,60.0,1,4,100,500,data/instances/cases/C20.csv
C21,case,60.0,1,6,100,500,data/instances/cases/C21.csv
C22,case,60.0,2,2,100,500,data/instances/cases/C22.csv
C23,case,60.0,2,4,100,500,data/instances/cases/C23.csv
C24,case,60.0,2,6,100,500,data/instances/cases/C24.csv
C25,case,60.0,3,2,100,500,data/instances/cases/C25.csv
C26,case,60.0,3,4,100,500,data/instances/cases/C26.csv
C27,case,60.0,3,6,100,500,data/instances/cases/C27.csv
val_l20,val,20.0,3,6,100,500,data/instances/val/val_l20.csv
val_l40,val,40.0,3,6,100,500,data/instances/val/val_l40.csv
val_l60,val,60.0,3,6,100,500,data/instances/val/val_l60.csv
