order_id,arrival_time,item_id,pick_point_id
1,86,2-2-left-item,2-2
1,86,4-6-right-item,4-6
1,86,3-4-right-item,3-4
1,86,3-5-right-item,3-5
1,86,5-1-right-item,5-1
1,86,6-8-left-item,6-8
1,86,2-3-right-item,2-3
1,86,1-8-right-item,1-8
1,86,5-8-left-item,5-8
1,86,3-8-right-item,3-8
1,86,5-6-left-item,5-6
1,86,4-4-left-item,4-4
1,86,2-3-left-item,2-3
1,86,6-10-right-item,6-10
1,86,5-4-right-item,5-4
1,86,6-1-right-item,6-1
1,86,1-3-right-item,1-3
1,86,3-9-right-item,3-9
1,86,2-6-left-item,2-6
1,86,3-7-left-item,3-7
1,86,6-6-left-item,6-6
1,86,4-10-right-item,4-10
1,86,6-7-left-item,6-7
1,86,4-9-left-item,4-9
1,86,4-5-left-item,4-5
1,86,4-2-left-item,4-2
1,86,1-7-left-item,1-7
1,86,6-7-right-item,6-7
1,86,4-1-right-item,4-1
1,86,5-5-right-item,5-5
1,86,4-8-left-item,4-8
1,86,2-9-right-item,2-9
1,86,6-5-left-item,6-5
1,86,1-10-left-item,1-10
1,86,6-6-right-item,6-6
1,86,5-4-left-item,5-4
1,86,5-9-left-item,5-9
1,86,5-2-left-item,5-2
1,86,5-2-right-item,5-2
1,86,5-6-right-item,5-6
1,86,4-9-right-item,4-9
1,86,1-7-right-item,1-7
1,86,6-3-left-item,6-3
1,86,6-8-right-item,6-8
1,86,2-4-right-item,2-4
1,86,3-7-right-item,3-7
1,86,5-10-right-item,5-10
1,86,4-7-right-item,4-7
1,86,6-4-right-item,6-4
1,86,3-4-left-item,3-4
1,86,3-5-left-item,3-5
1,86,1-4-right-item,1-4
1,86,3-8-left-item,3-8
1,86,3-10-left-item,3-10
1,86,3-9-left-item,3-9
1,86,4-5-right-item,4-5
1,86,3-6-left-item,3-6
1,86,5-5-left-item,5-5
1,86,1-1-right-item,1-1
1,86,2-9-left-item,2-9
1,86,1-9-right-item,1-9
1,86,2-5-right-item,2-5
1,86,2-6-right-item,2-6
1,86,4-1-left-item,4-1
1,86,3-3-left-item,3-3
2,213,5-10-left-item,5-10
2,213,1-6-right-item,1-6
2,213,4-1-right-item,4-1
2,213,2-7-left-item,2-7
2,213,3-8-left-item,3-8
2,213,1-5-right-item,1-5
2,213,5-10-right-item,5-10
2,213,3-5-right-item,3-5
2,213,6-9-left-item,6-9
2,213,2-5-left-item,2-5
2,213,2-7-right-item,2-7
2,213,5-9-right-item,5-9
2,213,6-8-right-item,6-8
2,213,5-2-right-item,5-2
2,213,1-1-left-item,1-1
2,213,4-4-left-item,4-4
2,213,3-5-left-item,3-5
2,213,4-7-right-item,4-7
2,213,4-6-left-item,4-6
2,213,6-1-left-item,6-1
2,213,2-6-right-item,2-6
2,213,5-6-right-item,5-6
2,213,4-9-right-item,4-9
2,213,5-4-right-item,5-4
2,213,3-8-right-item,3-8
2,213,5-1-left-item,5-1
2,213,1-1-right-item,1-1
2,213,1-8-left-item,1-8
2,213,2-10-left-item,2-10
2,213,5-6-left-item,5-6
2,213,3-10-left-item,3-10
2,213,6-2-left-item,6-2
2,213,1-4-left-item,1-4
2,213,3-1-left-item,3-1
2,213,6-8-left-item,6-8
2,213,5-3-right-item,5-3
2,213,3-10-right-item,3-10
2,213,3-9-right-item,3-9
2,213,4-10-right-item,4-10
2,213,2-8-left-item,2-8
2,213,6-9-right-item,6-9
2,213,4-5-left-item,4-5
2,213,6-3-left-item,6-3
3,289,3-6-right-item,3-6
3,289,1-4-right-item,1-4
3,289,4-2-left-item,4-2
3,289,5-9-right-item,5-9
3,289,3-8-left-item,3-8
3,289,4-3-right-item,4-3
3,289,2-10-right-item,2-10
3,289,6-6-left-item,6-6
3,289,6-4-left-item,6-4
3,289,4-7-left-item,4-7
3,289,4-4-left-item,4-4
3,289,3-1-right-item,3-1
3,289,4-8-right-item,4-8
3,289,2-3-left-item,2-3
3,289,2-6-left-item,2-6
3,289,1-9-left-item,1-9
3,289,2-1-right-item,2-1
3,289,3-9-left-item,3-9
3,289,2-10-left-item,2-10
3,289,6-2-right-item,6-2
3,289,3-5-right-item,3-5
3,289,2-5-left-item,2-5
3,289,1-4-left-item,1-4
3,289,4-10-left-item,4-10
3,289,6-7-left-item,6-7
3,289,4-8-left-item,4-8
3,289,3-4-left-item,3-4
3,289,4-10-right-item,4-10
3,289,5-3-right-item,5-3
3,289,5-5-left-item,5-5
3,289,2-6-right-item,2-6
3,289,2-5-right-item,2-5
3,289,2-2-left-item,2-2
3,289,6-4-right-item,6-4
3,289,6-8-left-item,6-8
3,289,3-3-right-item,3-3
3,289,6-5-right-item,6-5
3,289,4-3-left-item,4-3
3,289,6-1-left-item,6-1
3,289,5-4-right-item,5-4
3,289,5-4-left-item,5-4
3,289,1-5-right-item,1-5
3,289,1-10-right-item,1-10
3,289,6-8-right-item,6-8
3,289,2-4-left-item,2-4
3,289,6-1-right-item,6-1
3,289,5-8-left-item,5-8
3,289,3-6-left-item,3-6
3,289,5-1-left-item,5-1
3,289,3-10-left-item,3-10
3,289,1-7-right-item,1-7
3,289,4-6-left-item,4-6
3,289,4-1-left-item,4-1
3,289,5-10-right-item,5-10
4,344,1-4-left-item,1-4
4,344,1-9-right-item,1-9
4,344,3-5-right-item,3-5
4,344,6-9-left-item,6-9
4,344,1-1-right-item,1-1
4,344,5-6-left-item,5-6
4,344,5-8-left-item,5-8
4,344,5-6-right-item,5-6
4,344,5-5-right-item,5-5
4,344,6-10-left-item,6-10
4,344,1-1-left-item,1-1
4,344,5-10-right-item,5-10
4,344,3-2-right-item,3-2
4,344,4-7-left-item,4-7
4,344,4-9-left-item,4-9
4,344,3-1-left-item,3-1
4,344,2-1-left-item,2-1
4,344,1-2-left-item,1-2
4,344,6-7-right-item,6-7
4,344,1-2-right-item,1-2
5,356,2-8-right-item,2-8
5,356,1-3-left-item,1-3
5,356,6-3-left-item,6-3
5,356,2-1-left-item,2-1
5,356,3-10-right-item,3-10
5,356,4-6-right-item,4-6
5,356,5-9-left-item,5-9
5,356,3-10-left-item,3-10
5,356,4-3-left-item,4-3
5,356,4-2-left-item,4-2
5,356,4-6-left-item,4-6
5,356,1-10-right-item,1-10
5,356,1-7-right-item,1-7
5,356,3-4-right-item,3-4
5,356,3-7-left-item,3-7
5,356,5-10-left-item,5-10
5,356,2-6-left-item,2-6
5,356,3-3-right-item,3-3
5,356,5-6-right-item,5-6
5,356,1-1-right-item,1-1
5,356,5-5-right-item,5-5
5,356,1-1-left-item,1-1
5,356,3-1-right-item,3-1
5,356,4-8-left-item,4-8
5,356,6-2-right-item,6-2
5,356,2-9-left-item,2-9
5,356,5-9-right-item,5-9
5,356,6-6-right-item,6-6
5,356,5-1-left-item,5-1
5,356,1-9-right-item,1-9
5,356,2-3-left-item,2-3
5,356,5-1-right-item,5-1
5,356,1-5-left-item,1-5
5,356,3-4-left-item,3-4
5,356,4-4-left-item,4-4
5,356,2-2-left-item,2-2
5,356,6-4-right-item,6-4
5,356,1-5-right-item,1-5
5,356,1-2-right-item,1-2
5,356,3-5-left-item,3-5
5,356,2-4-left-item,2-4
5,356,5-2-left-item,5-2
5,356,2-7-left-item,2-7
5,356,5-2-right-item,5-2
5,356,1-8-left-item,1-8
5,356,2-10-right-item,2-10
5,356,1-3-right-item,1-3
5,356,6-4-left-item,6-4
5,356,3-2-left-item,3-2
5,356,4-2-right-item,4-2
5,356,3-6-right-item,3-6
5,356,6-6-left-item,6-6
5,356,6-1-right-item,6-1
5,356,6-1-left-item,6-1
5,356,4-9-left-item,4-9
5,356,4-10-left-item,4-10
5,356,1-6-left-item,1-6
5,356,5-10-right-item,5-10
5,356,4-10-right-item,4-10
5,356,3-9-right-item,3-9
5,356,6-5-left-item,6-5
5,356,5-5-left-item,5-5
5,356,6-10-left-item,6-10
5,356,2-10-left-item,2-10
5,356,5-7-right-item,5-7
5,356,4-4-right-item,4-4
5,356,6-2-left-item,6-2
5,356,4-5-right-item,4-5
5,356,2-7-right-item,2-7
5,356,4-9-right-item,4-9
5,356,1-4-right-item,1-4
5,356,5-8-right-item,5-8
5,356,2-2-right-item,2-2
5,356,5-4-right-item,5-4
5,356,4-1-right-item,4-1
5,356,3-2-right-item,3-2
5,356,4-1-left-item,4-1
5,356,1-10-left-item,1-10
5,356,4-3-right-item,4-3
5,356,1-7-left-item,1-7
5,356,5-3-right-item,5-3
5,356,4-8-right-item,4-8
5,356,2-6-right-item,2-6
5,356,3-8-left-item,3-8
5,356,1-8-right-item,1-8
5,356,2-4-right-item,2-4
5,356,5-6-left-item,5-6
5,356,6-8-right-item,6-8
6,442,2-10-right-item,2-10
6,442,2-9-right-item,2-9
6,442,5-5-right-item,5-5
6,442,1-9-left-item,1-9
6,442,4-7-left-item,4-7
6,442,1-7-right-item,1-7
6,442,1-2-left-item,1-2
6,442,1-10-right-item,1-10
6,442,1-6-right-item,1-6
6,442,3-1-left-item,3-1
6,442,3-2-right-item,3-2
6,442,1-10-left-item,1-10
6,442,2-2-left-item,2-2
6,442,5-9-left-item,5-9
6,442,1-1-right-item,1-1
6,442,2-1-right-item,2-1
6,442,6-2-left-item,6-2
6,442,6-8-right-item,6-8
6,442,2-10-left-item,2-10
6,442,6-7-right-item,6-7
6,442,2-7-right-item,2-7
6,442,6-6-left-item,6-6
6,442,2-1-left-item,2-1
6,442,2-9-left-item,2-9
6,442,4-9-right-item,4-9
6,442,3-10-left-item,3-10
6,442,6-5-right-item,6-5
6,442,2-4-right-item,2-4
6,442,1-4-right-item,1-4
6,442,1-7-left-item,1-7
6,442,4-3-right-item,4-3
6,442,5-9-right-item,5-9
6,442,5-10-right-item,5-10
6,442,4-7-right-item,4-7
6,442,4-1-right-item,4-1
6,442,4-3-left-item,4-3
6,442,3-5-left-item,3-5
6,442,3-6-right-item,3-6
6,442,2-3-left-item,2-3
6,442,6-2-right-item,6-2
6,442,1-2-right-item,1-2
6,442,3-9-right-item,3-9
6,442,5-2-right-item,5-2
6,442,3-8-left-item,3-8
6,442,6-6-right-item,6-6
6,442,6-5-left-item,6-5
6,442,3-7-left-item,3-7
6,442,5-8-left-item,5-8
6,442,3-3-left-item,3-3
6,442,2-3-right-item,2-3
6,442,5-8-right-item,5-8
6,442,5-1-right-item,5-1
6,442,1-5-right-item,1-5
6,442,3-2-left-item,3-2
6,442,5-2-left-item,5-2
6,442,4-10-right-item,4-10
6,442,1-5-left-item,1-5
6,442,1-3-right-item,1-3
6,442,6-9-right-item,6-9
6,442,2-8-left-item,2-8
6,442,3-4-right-item,3-4
6,442,6-1-right-item,6-1
6,442,2-4-left-item,2-4
6,442,4-9-left-item,4-9
6,442,3-7-right-item,3-7
6,442,4-10-left-item,4-10
6,442,5-10-left-item,5-10
6,442,2-5-right-item,2-5
6,442,2-8-right-item,2-8
6,442,2-6-right-item,2-6
6,442,1-9-right-item,1-9
6,442,5-3-left-item,5-3
6,442,6-10-left-item,6-10
6,442,4-5-right-item,4-5
6,442,3-1-right-item,3-1
6,442,6-7-left-item,6-7
6,442,4-8-right-item,4-8
6,442,4-6-right-item,4-6
6,442,4-1-left-item,4-1
6,442,2-6-left-item,2-6
6,442,6-10-right-item,6-10
6,442,3-6-left-item,3-6
6,442,5-4-left-item,5-4
6,442,4-2-left-item,4-2
6,442,5-7-right-item,5-7
6,442,1-8-left-item,1-8
6,442,3-4-left-item,3-4
6,442,1-8-right-item,1-8
6,442,2-5-left-item,2-5
6,442,4-4-left-item,4-4
6,442,3-3-right-item,3-3
6,442,4-6-left-item,4-6
6,442,6-9-left-item,6-9
6,442,6-4-right-item,6-4
6,442,1-6-left-item,1-6
6,442,2-7-left-item,2-7
6,442,5-6-right-item,5-6
6,442,4-5-left-item,4-5
7,513,4-5-left-item,4-5
7,513,5-2-left-item,5-2
7,513,1-3-right-item,1-3
7,513,1-5-left-item,1-5
7,513,3-6-right-item,3-6
7,513,4-1-right-item,4-1
7,513,2-5-right-item,2-5
7,513,1-7-right-item,1-7
7,513,5-3-right-item,5-3
7,513,1-9-right-item,1-9
7,513,5-8-right-item,5-8
7,513,3-3-left-item,3-3
7,513,2-4-right-item,2-4
7,513,1-4-right-item,1-4
7,513,6-3-right-item,6-3
7,513,5-7-left-item,5-7
7,513,2-1-right-item,2-1
7,513,4-10-right-item,4-10
7,513,2-9-right-item,2-9
7,513,4-4-right-item,4-4
7,513,4-2-right-item,4-2
7,513,2-3-left-item,2-3
7,513,2-9-left-item,2-9
7,513,6-4-left-item,6-4
7,513,4-4-left-item,4-4
7,513,4-6-right-item,4-6
7,513,4-5-right-item,4-5
7,513,6-8-left-item,6-8
7,513,5-5-left-item,5-5
7,513,6-6-left-item,6-6
7,513,5-5-right-item,5-5
7,513,1-6-left-item,1-6
7,513,3-10-right-item,3-10
7,513,3-1-left-item,3-1
7,513,3-7-right-item,3-7
7,513,1-3-left-item,1-3
7,513,6-6-right-item,6-6
7,513,3-6-left-item,3-6
7,513,4-8-right-item,4-8
7,513,1-2-left-item,1-2
7,513,1-7-left-item,1-7
7,513,4-7-right-item,4-7
7,513,3-1-right-item,3-1
7,513,3-2-right-item,3-2
7,513,5-10-right-item,5-10
8,530,2-6-left-item,2-6
8,530,6-3-right-item,6-3
8,530,2-10-left-item,2-10
8,530,5-7-left-item,5-7
8,530,4-10-right-item,4-10
8,530,3-2-left-item,3-2
8,530,6-10-left-item,6-10
8,530,3-3-right-item,3-3
8,530,2-3-left-item,2-3
8,530,5-10-right-item,5-10
8,530,5-6-right-item,5-6
8,530,1-3-right-item,1-3
8,530,4-2-right-item,4-2
8,530,5-8-left-item,5-8
8,530,4-4-left-item,4-4
8,530,3-10-right-item,3-10
8,530,6-6-left-item,6-6
8,530,3-6-right-item,3-6
8,530,3-7-right-item,3-7
8,530,5-3-left-item,5-3
8,530,3-5-right-item,3-5
8,530,3-3-left-item,3-3
8,530,2-5-left-item,2-5
8,530,5-4-left-item,5-4
8,530,2-8-right-item,2-8
9,532,2-4-left-item,2-4
9,532,4-6-left-item,4-6
9,532,6-9-left-item,6-9
9,532,5-8-right-item,5-8
9,532,6-2-left-item,6-2
9,532,4-7-right-item,4-7
9,532,6-6-left-item,6-6
9,532,6-1-right-item,6-1
9,532,3-3-left-item,3-3
9,532,6-8-left-item,6-8
9,532,3-2-left-item,3-2
9,532,3-2-right-item,3-2
9,532,3-5-left-item,3-5
9,532,1-1-right-item,1-1
9,532,2-7-left-item,2-7
9,532,3-4-left-item,3-4
9,532,4-6-right-item,4-6
